	CH4	TOC 	IC	Ca2+	Mg2+	SO42-	PO43-	NO3-	NO2-	NH4+
ROV1-sediment	9458.510429	26.4	194.01	141.6811505	840.4202373	1229.151139	6.646358141	0.326502384	0.291976138	0.124316115
ROV2-sediment	2038.064758	30.21	38.21	324.212733	982.0687181	2812.965839	6.646358141	0.326502384	0.291976138	0.124316115
ROV3-sediment	3668.83394	30.64	40.65	266.9086078	789.2488362	2826.780538	2.551800761	0.887060247	0.354766705	4.900888022
ROV4-sediment	5595.322462	51.5	46.76	260.0843458	1158.68695	2781.423395	1.455723883	0.25019	0.339069063	8.734890421
ROV5-sediment	5595.322462	34.9	36.17	287.8721823	884.9342663	2626.780538	3.623973814	0.121199501	0.317092365	3.309984372
ROV1-seawater	67.71706	18.03	30.67	352.1433733	1208.882321	1084.974093	0.605005441	59.11371237	0.036674817	2.357807653
ROV2-seawater	91.02091	16.18	31.89	346.4851173	1248.574484	1145.07772	1.731229597	22.44983278	0.044824776	20.76525336
ROV3-seawater	59.46831	5.79	36.72	362.6509526	1217.235597	1313.989637	1.029379761	30.39297659	0.048899756	2.564632885
ROV4-seawater	51.27575	39.92	32.11	397.0431708	1362.215027	1289.119171	1.426550598	25.71070234	0.044824776	3.54705274
ROV5-seawater	124.06873	5.432	33.49	377.9321617	1373.242888	1226.943005	0.974972797	25.71906355	0.040749796	1.892450879
